fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.68879,0.00825,0.00933,0.7458,0.0006,3.41699,0.86471,9.94595,0.45004,2.1038,0.01404,0.27682,0.42693,0.0,0.12958,0.25737,0.0,0.0,0.0,0.21701,0.0,0.9276,0.0,0.0
0.66081,0.00675,0.01224,0.94238,0.00081,3.86274,0.94791,10.48258,0.52596,1.19186,0.01513,0.3824,0.29402,0.0,0.12918,0.37403,0.0,0.0,0.0,0.38408,0.0,1.0,0.0,0.0
0.62127,0.00862,0.01285,0.96555,0.00059,2.13456,0.64934,8.81803,0.26706,1.10233,0.01788,0.33412,0.40231,0.0,0.12002,0.49081,0.0,0.0,0.0,0.44696,0.0,0.86745,0.0,0.0
0.68748,0.00698,0.01214,0.97228,0.00065,3.26165,0.78227,7.87274,0.45004,1.37512,0.01553,0.31889,0.40231,0.0,0.12002,0.42479,0.0,0.0,0.0,0.38664,0.0,0.95649,0.0,0.0
0.67293,0.00613,0.01068,0.96555,0.00065,2.6119,0.78227,8.2506,0.33376,1.57319,0.01492,0.34033,0.42297,0.0,0.12002,0.42377,0.0,0.0,0.0,0.43971,0.0,0.78285,0.0,0.0
0.69117,0.00667,0.01166,0.94201,0.00066,2.64673,0.8543,8.14207,0.45193,2.08017,0.01838,0.31783,0.41716,0.0,0.12968,0.35573,0.0,0.0,0.0,0.36737,0.0,1.0,0.0,0.0
0.65025,0.00815,0.01106,0.96327,0.0006,3.1832,0.66537,8.89761,0.45004,1.37512,0.01461,0.31944,0.46035,0.0,0.10989,0.38137,0.0,0.0,0.0,0.43253,0.0,1.0,0.0,0.0
0.67392,0.00742,0.01166,0.94143,0.00066,3.27527,0.79349,10.35879,0.43002,1.37512,0.01452,0.32135,0.4182,0.0,0.12002,0.44109,0.0,0.0,0.0,0.39268,0.0,0.98139,0.0,0.0
0.68979,0.00825,0.00882,0.75132,0.00059,3.45826,0.82726,10.25416,0.4505,2.1038,0.01345,0.28994,0.4238,0.0,0.1307,0.24444,0.0,0.0,0.0,0.23319,0.0,0.91551,0.0,0.0
0.66781,0.00667,0.01113,0.94201,0.00066,2.68601,0.79094,8.21822,0.45724,2.08017,0.01852,0.31173,0.41716,0.0,0.13931,0.34819,0.0,0.0,0.0,0.4043,0.0,0.96229,0.0,0.0
0.69848,0.00689,0.01151,0.93718,0.0006,2.59222,0.88727,8.14207,0.50483,2.16023,0.01869,0.31783,0.40377,0.0,0.12968,0.37195,0.0,0.0,0.0,0.36737,0.0,0.99494,0.0,0.0
0.68423,0.0062,0.01209,0.97218,0.00058,2.59222,0.90944,6.72427,0.50307,2.16023,0.02013,0.31603,0.35904,0.0,0.11365,0.39045,0.0,0.0,0.0,0.28029,0.0,1.0,0.0,0.0
0.67672,0.00689,0.0118,0.93642,0.0006,2.67431,0.82205,8.59459,0.50483,2.20432,0.017,0.32225,0.4188,0.0,0.1311,0.37489,0.0,0.0,0.0,0.36737,0.0,1.0,0.0,0.0
